080713-150702;{'temp':16.60,'hum':59.70}
080713-150801;{'temp':16.60,'hum':58.80}
080713-150902;{'temp':16.60,'hum':60.50}
080713-151002;{'temp':16.60,'hum':62.50}
080713-151101;{'temp':16.50,'hum':64.30}
080713-151202;{'temp':16.50,'hum':64.60}
080713-151302;{'temp':16.60,'hum':65.70}
080713-151401;{'temp':16.50,'hum':68.90}
080713-151502;{'temp':16.50,'hum':69.00}
080713-151602;{'temp':16.50,'hum':70.30}
080713-151701;{'temp':16.50,'hum':69.80}
080713-151802;{'temp':16.50,'hum':69.70}
080713-151901;{'temp':16.50,'hum':68.90}
080713-152002;{'temp':16.40,'hum':69.50}
080713-152102;{'temp':16.60,'hum':69.80}
080713-152201;{'temp':16.60,'hum':71.00}
080713-152302;{'temp':16.60,'hum':71.40}
080713-152402;{'temp':16.70,'hum':71.80}
080713-152501;{'temp':16.70,'hum':70.50}
080713-152602;{'temp':16.80,'hum':70.50}
080713-152702;{'temp':16.90,'hum':70.60}
080713-152801;{'temp':17.00,'hum':68.70}
080713-152902;{'temp':17.00,'hum':68.40}
080713-153001;{'temp':17.20,'hum':67.10}
080713-153101;{'temp':17.30,'hum':67.20}
080713-153202;{'temp':17.40,'hum':66.30}
080713-153301;{'temp':17.50,'hum':65.40}
080713-153402;{'temp':17.50,'hum':67.40}
080713-153502;{'temp':17.70,'hum':65.30}
080713-153601;{'temp':17.80,'hum':63.80}
080713-153702;{'temp':18.00,'hum':61.90}
080713-153802;{'temp':18.10,'hum':61.00}
080713-153901;{'temp':18.20,'hum':60.50}
080713-154002;{'temp':18.40,'hum':59.70}
080713-154101;{'temp':18.50,'hum':60.70}
080713-154201;{'temp':18.70,'hum':59.50}
080713-154302;{'temp':18.80,'hum':57.70}
080713-154401;{'temp':18.80,'hum':56.20}
080713-154502;{'temp':18.80,'hum':56.90}
080713-154602;{'temp':18.90,'hum':57.30}
080713-154701;{'temp':19.00,'hum':56.80}
080713-154802;{'temp':19.10,'hum':55.90}
080713-154902;{'temp':19.40,'hum':56.40}
080713-155001;{'temp':19.60,'hum':55.30}
080713-155102;{'temp':19.80,'hum':55.80}
080713-155202;{'temp':20.10,'hum':53.70}
080713-155301;{'temp':20.60,'hum':54.00}
080713-155402;{'temp':21.00,'hum':52.00}
080713-155501;{'temp':21.50,'hum':51.60}
080713-155602;{'temp':22.10,'hum':50.20}
080713-155702;{'temp':22.50,'hum':48.60}
080713-155801;{'temp':23.00,'hum':47.40}
080713-155902;{'temp':23.40,'hum':45.20}
080713-160002;{'temp':22.80,'hum':45.80}
080713-160101;{'temp':22.90,'hum':47.00}
080713-160202;{'temp':22.80,'hum':45.40}
080713-160302;{'temp':23.00,'hum':45.40}
080713-160401;{'temp':23.60,'hum':46.40}
080713-160502;{'temp':24.30,'hum':45.50}
080713-160601;{'temp':25.40,'hum':43.30}
080713-160702;{'temp':26.00,'hum':41.50}
080713-160802;{'temp':26.40,'hum':39.30}
080713-160901;{'temp':26.60,'hum':38.80}
080713-161002;{'temp':26.90,'hum':37.40}
080713-161102;{'temp':27.10,'hum':36.90}
080713-161201;{'temp':27.30,'hum':35.70}
080713-161302;{'temp':27.80,'hum':36.70}
080713-161402;{'temp':28.50,'hum':34.90}
080713-161501;{'temp':30.10,'hum':31.90}
080713-161602;{'temp':30.80,'hum':30.00}
